    121.1620     24.3945
    121.1791     24.3918
    121.1718     24.3680
    121.1564     24.3616
    121.1408     24.3436
    121.1293     24.3419
    121.1263     24.3257
    121.1105     24.3258
    121.1029     24.3363
    121.1098     24.3469
    121.1086     24.3599
    121.1239     24.3636
    121.1317     24.3863
    121.1408     24.3729
    121.1552     24.3726
    121.1693     24.3791
    121.1620     24.3945
    121.0914     24.3312
    121.0764     24.3228
    121.0617     24.3321
    121.0669     24.3415
    121.0914     24.3312
    121.2058     24.4755
    121.2383     24.4826
    121.2543     24.4773
    121.2610     24.4692
    121.2755     24.4759
    121.2584     24.4481
    121.2736     24.4423
    121.2902     24.4432
    121.3156     24.4613
    121.3084     24.4457
    121.2997     24.4290
    121.2772     24.4330
    121.2713     24.4256
    121.2558     24.4312
    121.2533     24.4152
    121.2418     24.4083
    121.2579     24.3999
    121.2721     24.4004
    121.2399     24.3893
    121.2509     24.3632
    121.2350     24.3702
    121.2238     24.3761
    121.2110     24.3781
    121.2015     24.3505
    121.2116     24.3378
    121.1749     24.3078
    121.1626     24.3067
    121.1908     24.3265
    121.1880     24.3383
    121.1826     24.3500
    121.1891     24.3647
    121.1893     24.3811
    121.1980     24.3944
    121.1872     24.3951
    121.1906     24.4104
    121.2049     24.4035
    121.2167     24.4110
    121.2282     24.4222
    121.2176     24.4312
    121.2351     24.4371
    121.2433     24.4440
    121.2478     24.4557
    121.2379     24.4620
    121.2340     24.4728
    121.2183     24.4711
    121.2058     24.4755
    121.4439     24.4084
    121.4435     24.3913
    121.4561     24.3914
    121.4629     24.3686
    121.4909     24.3576
    121.4423     24.3448
    121.4343     24.3363
    121.4307     24.3212
    121.4340     24.3079
    121.4024     24.3037
    121.3941     24.3186
    121.4040     24.3186
    121.4273     24.3308
    121.4207     24.3605
    121.4221     24.3806
    121.4130     24.3867
    121.4439     24.4084
    121.3825     24.2712
    121.3998     24.2559
    121.3734     24.2507
    121.3660     24.2563
    121.3780     24.2622
    121.3825     24.2712
    121.3535     24.2493
    121.3421     24.2376
    121.3363     24.2232
    121.3522     24.2173
    121.3456     24.2098
    121.3345     24.2082
    121.3306     24.2243
    121.3383     24.2386
    121.3274     24.2509
    121.3535     24.2493
    121.1149     24.2041
    121.0887     24.1870
    121.0895     24.1963
    121.1025     24.2066
    121.1149     24.2041
    121.2915     24.2005
    121.2922     24.1848
    121.2816     24.1800
    121.2474     24.1807
    121.2505     24.1869
    121.2915     24.2005
    121.2856     24.1707
    121.2856     24.1545
    121.3022     24.1328
    121.2740     24.1376
    121.2660     24.1278
    121.2654     24.1428
    121.2411     24.1613
    121.2524     24.1640
    121.2677     24.1564
    121.2856     24.1707
    121.4384     24.1271
    121.4416     24.1266
    121.4398     24.1232
    121.4362     24.1248
    121.4384     24.1271
    121.4076     24.0858
    121.4129     24.0870
    121.4217     24.0754
    121.4084     24.0779
