# Latitude(North), Longitude(East)
489 496
489 496
490 496
490 497
491 498
491 499
493 497
493 498
494 497
497 498
498 497
498 496
497 496
497 494
497 493
496 494
495 492
495 491
495 489
494 490
492 492
493 490
492 490
491 488
492 488
493 488
494 487
491 485
492 485
492 484
493 483
491 483
493 481
492 481
492 480
493 481
494 483
494 484
495 484
495 486
496 483
497 484
497 486
498 486
498 488
499 488
498 489
498 491
500 491
500 493
500 494
499 495
499 496
500 495
501 496
499 496
499 497
500 497
499 498
501 500
501 500
499 500
499 501
498 500
498 501
499 501
499 502
499 503
500 504
499 503
500 502
503 504
505 505
506 506
506 507
505 508
504 508
505 510
506 508
507 509
507 510
509 510
507 508
507 507
507 506
508 505
509 506
512 505
513 505
513 504
512 504
510 504
510 503
510 503
509 504
508 503
507 500
508 499
508 499
507 500
506 502
505 501
505 501
505 498
504 499
504 499
504 497
504 496
503 495
503 494
502 493
502 490
502 490
502 492
503 492
505 493
506 493
506 492
504 492
504 490
503 490
503 490
502 489
504 488
504 487
504 486
504 486
502 486
502 486
502 484
502 484
501 484
500 484
501 483
501 482
501 481
500 481
501 480
501 480
500 478
499 478
499 477
500 476
500 477
501 478
503 478
502 479
503 480
503 481
504 481
506 481
507 480
508 481
506 482
507 483
506 483
507 484
508 485
510 483
510 484
511 484
510 485
509 486
510 487
509 487
509 487
510 488
511 488
512 487
512 488
513 488
514 488
513 489
513 490
512 490
512 491
513 492
513 493
515 494
515 496
514 497
516 497
516 498
516 497
516 494
515 491
515 490
518 491
518 492
519 492
519 494
518 495
519 496
520 496
520 495
520 493
521 489
520 490
519 489
519 489
516 487
516 486
520 488
520 487
520 486
519 485
519 484
520 484
520 483
521 483
521 485
522 485
522 486
522 487
521 488
522 489
522 494
522 495
525 495
526 495
528 494
528 495
528 497
529 497
528 498
527 496
526 496
523 497
523 498
523 498
522 499
521 500
522 501
523 501
523 502
524 501
524 500
525 499
525 501
526 501
526 502
527 503
528 503
527 504
526 503
524 503
524 504
525 505
525 506
524 506
523 508
523 506
522 506
521 505
521 505
519 504
518 504
519 505
521 507
522 509
522 509
523 509
522 510
522 511
521 511
521 510
520 510
519 508
517 507
515 508
515 507
514 508
513 508
511 507
510 507
509 506
508 505
508 507
510 508
511 508
511 508
512 509
511 510
513 513
514 513
515 514
516 514
515 515
516 516
516 517
519 517
520 518
519 520
520 521
521 522
520 522
519 522
518 519
517 521
516 518
515 519
514 518
514 518
512 518
512 520
513 521
511 521
510 522
509 522
508 524
507 525
507 524
507 523
507 520
506 520
506 522
505 522
505 523
503 524
503 525
504 525
502 526
502 528
504 528
503 531
505 531
506 530
504 532
502 531
501 531
500 532
500 534
500 533
499 533
498 532
500 532
501 530
501 530
501 529
502 528
501 527
500 527
499 527
497 528
496 528
497 526
499 526
500 526
500 524
500 524
499 525
499 524
500 524
500 522
501 523
501 524
502 524
503 523
504 522
506 521
506 520
505 519
506 517
505 517
503 518
502 517
502 516
503 515
503 513
502 513
501 515
501 514
499 515
500 514
499 513
498 513
499 512
499 511
498 511
497 513
496 513
496 512
496 511
495 512
495 513
494 510
495 509
495 506
494 506
494 506
494 509
492 511
491 509
491 512
490 513
492 513
492 514
491 515
493 516
492 517
493 517
491 518
492 519
493 519
493 520
491 520
491 522
491 523
492 523
493 525
492 525
491 524
490 523
489 523
489 522
491 519
490 518
489 519
488 520
487 519
487 519
485 519
484 519
484 520
482 520
482 519
484 519
484 518
487 518
487 518
487 517
488 516
487 516
486 516
485 515
484 514
484 512
485 511
486 512
485 510
484 511
484 510
484 509
485 509
486 508
485 507
484 507
484 506
483 506
482 503
481 504
480 504
480 505
480 506
480 507
479 506
479 508
478 509
478 508
477 509
476 512
475 512
474 514
474 515
475 516
474 516
472 516
473 515
474 512
473 512
474 510
475 507
474 506
475 505
474 505
473 506
473 505
472 504
470 504
469 505
471 507
470 507
469 506
467 505
467 507
466 508
465 508
464 508
466 508
466 506
465 506
465 504
465 503
466 503
467 503
468 502
467 500
466 501
465 501
464 500
463 501
463 500
462 500
461 502
461 502
460 502
460 503
460 504
458 504
457 502
456 501
452 499
453 501
454 502
453 502
454 503
454 504
452 504
451 504
450 503
449 501
449 501
448 501
448 502
447 502
446 501
443 502
443 500
444 499
445 500
446 499
445 499
445 497
443 497
445 494
444 495
443 494
443 494
442 497
441 497
440 497
439 498
439 499
438 499
437 498
436 499
436 498
435 498
435 496
433 496
433 496
432 496
433 495
434 495
435 495
435 494
433 492
433 491
434 492
435 491
436 491
437 491
437 490
439 490
437 489
437 490
436 489
434 489
436 488
437 487
434 488
435 486
434 485
433 487
431 487
431 485
431 484
430 487
429 486
428 485
428 486
427 486
428 489
429 489
430 490
431 490
430 490
427 491
427 492
427 493
429 493
428 494
427 494
425 494
424 494
425 493
423 492
423 492
423 491
424 491
423 490
423 487
422 488
421 487
422 488
419 490
420 491
419 492
418 491
417 492
418 493
418 494
417 494
416 492
416 491
418 490
418 489
417 487
417 487
416 487
415 486
416 486
416 485
418 486
419 485
419 484
420 483
419 483
419 481
420 480
420 478
421 479
420 477
416 475
416 476
415 475
414 476
415 478
415 479
413 479
413 479
412 480
412 481
412 482
411 481
412 480
411 480
409 480
409 479
411 477
410 476
411 475
411 474
410 474
409 476
408 474
407 474
408 476
408 477
408 476
407 477
405 477
405 477
406 478
407 478
408 481
409 482
408 483
407 482
406 483
407 484
406 484
404 481
404 481
404 480
403 479
402 479
401 480
400 482
398 482
397 482
396 481
397 480
398 479
397 479
396 479
395 480
394 480
395 478
394 478
394 477
396 476
397 477
399 476
399 475
398 475
398 474
400 474
400 473
400 475
402 474
401 473
401 470
400 470
400 469
399 469
397 469
397 468
396 467
394 469
394 469
393 467
393 470
393 471
392 471
393 472
391 473
391 472
392 472
391 471
389 470
386 470
386 471
386 472
386 474
383 473
384 476
383 474
382 474
382 473
381 472
380 473
378 473
378 470
378 470
379 471
380 471
381 472
381 471
382 472
384 472
385 471
385 471
386 470
386 469
388 469
389 467
389 466
388 465
387 464
386 464
387 463
387 462
390 461
388 463
388 464
389 464
392 463
391 464
389 464
389 465
390 466
390 468
390 468
392 467
394 466
395 466
395 465
396 465
397 466
398 466
397 465
399 465
400 465
400 464
399 463
400 463
401 464
401 466
400 466
400 468
403 468
403 467
405 467
405 468
408 464
409 466
408 468
408 469
408 470
409 470
410 470
411 468
411 468
412 467
413 468
413 466
414 466
414 467
415 467
416 466
416 468
414 470
416 470
415 470
416 471
417 471
419 469
420 470
421 471
421 469
423 469
423 472
424 472
423 473
422 475
423 476
424 476
424 477
425 477
426 480
426 480
426 478
427 477
426 475
428 475
429 474
430 474
431 475
431 478
432 479
432 478
432 476
433 475
433 475
431 475
431 474
430 473
428 473
427 473
426 473
426 471
426 470
426 469
427 468
427 467
428 466
429 467
428 467
429 469
430 469
430 470
431 471
431 470
432 469
432 471
433 470
435 471
434 472
434 473
436 472
437 474
437 472
435 470
438 468
437 467
434 467
432 464
432 462
431 463
431 462
430 462
429 461
429 460
430 461
431 460
431 461
434 461
433 463
433 464
433 464
434 465
435 465
437 464
438 465
439 464
439 466
440 465
440 464
441 463
442 464
443 465
443 462
444 461
444 462
444 463
446 465
447 465
448 465
448 463
450 462
450 463
451 462
450 463
449 464
449 465
451 466
450 467
449 466
448 467
447 466
446 467
446 466
444 465
443 467
442 466
440 467
439 468
440 468
439 469
440 470
440 471
441 470
441 470
442 472
444 471
444 472
443 473
441 472
440 473
441 474
441 475
444 475
442 479
445 477
446 476
446 476
447 475
448 474
449 474
449 474
450 474
451 475
450 477
452 476
453 476
454 475
454 473
455 472
454 475
455 475
457 474
457 475
458 477
459 476
459 476
459 477
461 477
461 480
461 481
460 480
458 479
458 478
456 478
456 479
455 479
455 478
453 477
453 479
452 479
451 480
450 480
449 478
449 480
448 479
447 480
445 480
442 481
445 481
446 484
445 487
446 487
447 487
447 485
447 482
449 482
449 484
450 483
451 486
451 484
454 484
454 486
455 487
454 488
454 489
455 488
456 486
457 485
457 485
458 485
457 486
458 487
457 488
457 489
456 490
455 490
454 490
453 492
454 492
455 492
454 493
453 494
452 494
452 495
451 494
451 496
452 496
453 496
454 497
455 496
455 495
455 496
456 495
457 496
456 497
457 497
459 496
459 495
458 494
460 494
460 493
460 492
460 491
461 490
462 486
462 487
462 488
463 491
462 491
461 492
462 493
462 493
464 493
465 494
465 495
465 495
466 494
465 493
466 492
465 490
465 489
466 487
467 488
467 488
468 486
468 485
469 487
469 488
469 489
469 491
469 490
470 489
472 489
473 488
474 489
472 491
473 492
474 491
475 493
475 494
475 494
474 493
473 494
474 495
474 496
471 496
471 497
471 498
