# Latitude(North), Longitude(East)
535 514
536 513
535 511
537 513
539 509
540 510
540 511
539 513
540 513
541 510
543 511
543 513
543 514
544 514
545 514
546 514
546 513
548 513
547 514
545 515
545 515
546 517
548 518
549 520
548 520
547 519
546 520
545 518
544 518
542 516
541 516
541 516
542 519
541 519
540 517
539 518
539 519
538 520
536 520
537 520
538 521
539 520
540 520
540 521
542 522
543 522
544 521
546 523
545 524
546 525
547 524
547 525
545 527
545 528
544 529
545 530
546 529
547 528
547 529
546 531
547 533
546 534
545 533
545 530
544 530
544 529
543 528
543 525
543 522
542 522
541 522
541 523
540 523
540 524
539 525
539 524
538 523
538 524
538 525
536 524
536 523
532 522
533 522
535 522
534 521
533 520
533 519
530 520
530 518
529 518
528 519
528 516
526 517
527 515
526 515
525 516
525 514
524 515
523 514
523 513
523 514
520 514
520 512
519 513
518 512
516 511
518 513
519 514
519 515
519 515
520 515
522 517
524 517
523 518
524 518
525 519
522 519
524 521
523 523
524 524
525 524
525 523
527 522
526 523
526 524
525 525
527 525
529 525
527 527
526 527
526 528
528 529
527 530
526 529
526 531
527 532
526 533
524 532
524 532
523 532
525 533
523 534
523 535
524 535
524 536
523 537
524 539
525 540
526 540
525 541
526 542
525 542
525 543
524 543
522 543
521 543
521 543
524 542
524 541
523 541
524 539
523 537
523 536
522 536
522 538
521 539
520 540
519 541
519 539
519 539
518 538
517 536
519 536
519 534
520 533
518 532
517 534
516 533
515 533
514 534
514 534
514 536
513 536
513 537
512 539
513 540
511 541
509 541
510 540
509 538
508 537
508 536
510 536
509 535
511 535
511 534
510 533
511 533
514 532
514 532
514 530
515 531
516 532
517 531
516 530
518 529
518 529
517 529
516 528
517 527
516 527
514 528
514 526
513 526
514 524
515 523
514 522
513 522
514 523
513 524
512 525
511 524
511 526
511 528
512 528
511 530
510 529
509 529
508 528
508 527
508 526
508 525
507 526
506 528
505 527
505 526
505 529
506 529
507 529
507 530
507 531
507 532
507 533
506 533
506 534
505 535
505 536
505 536
505 537
505 537
504 538
504 539
503 538
502 538
503 536
504 534
503 532
502 532
502 533
501 534
502 535
500 536
499 534
499 534
498 533
498 532
495 532
495 532
494 531
499 531
500 530
500 529
500 529
498 529
497 529
496 529
496 528
496 527
496 526
496 525
495 523
496 523
497 524
496 521
497 520
498 520
498 519
500 519
502 521
502 520
501 519
499 518
500 517
499 517
498 518
497 519
496 519
497 516
497 516
496 517
496 517
496 516
494 515
494 515
495 516
494 520
494 521
493 521
493 522
494 523
493 524
494 526
493 526
494 527
492 528
492 529
491 528
491 525
490 525
489 526
489 525
488 525
487 524
488 523
488 521
487 522
486 522
486 523
486 524
485 524
486 525
486 526
484 526
484 526
483 525
482 525
484 525
484 523
483 523
482 521
479 522
479 521
480 520
479 519
480 519
481 519
480 517
481 517
481 515
482 516
483 515
482 513
482 511
483 510
482 510
482 508
481 508
481 509
480 510
481 511
480 512
480 512
480 515
478 515
478 514
477 513
478 514
477 515
477 516
477 518
477 518
476 519
473 518
473 517
471 517
469 515
468 516
469 515
470 514
472 514
471 512
470 512
469 512
469 511
471 510
472 510
472 508
473 508
473 507
472 507
471 509
469 509
468 507
468 509
468 509
466 509
465 510
467 510
467 512
466 512
467 513
465 513
463 512
462 512
462 513
461 512
460 513
460 512
461 511
461 509
462 509
463 509
464 505
463 505
464 503
463 503
463 504
462 504
462 506
462 507
461 506
460 506
461 508
460 509
459 508
459 508
457 510
457 508
456 507
456 506
456 505
457 504
456 503
456 504
455 505
455 506
453 506
455 509
453 511
452 509
451 509
451 508
451 507
449 508
448 506
449 506
449 505
449 504
449 503
447 503
447 504
447 504
447 505
446 508
445 507
444 508
443 508
443 507
444 506
445 505
443 505
441 504
441 504
440 504
440 504
438 505
437 505
437 504
438 503
438 502
439 502
440 501
441 502
441 501
441 500
441 499
442 498
441 498
440 500
439 501
438 500
435 501
434 500
434 502
434 503
433 503
432 502
431 502
430 501
429 501
428 501
428 500
429 499
430 498
430 497
432 497
430 495
432 493
431 492
431 491
431 491
430 491
431 493
430 494
428 495
427 495
428 497
427 498
426 499
425 499
424 500
423 495
421 494
420 496
420 496
422 499
420 499
420 499
419 497
418 497
418 496
416 497
415 496
416 495
413 493
412 494
412 493
413 492
413 491
413 491
414 490
415 489
414 488
413 489
413 485
416 484
416 483
415 483
415 482
417 481
417 481
416 480
414 482
414 482
414 484
413 484
412 485
411 486
411 489
410 488
411 487
411 483
410 481
410 483
410 484
409 484
410 486
409 486
409 488
409 487
408 489
407 488
406 488
407 489
407 490
408 489
409 491
410 491
409 493
408 493
407 491
405 491
405 490
403 490
402 489
401 488
399 489
399 487
400 486
401 485
402 486
403 485
402 484
402 483
402 481
401 484
401 484
400 483
399 483
399 484
399 485
397 486
396 488
395 486
395 485
395 485
394 485
391 484
391 484
391 482
393 482
393 482
394 483
395 481
394 482
393 481
392 481
392 480
391 480
391 478
392 478
392 477
391 476
394 475
395 474
392 474
391 475
391 476
390 476
389 475
389 474
387 475
387 475
388 475
389 476
388 476
388 477
389 477
388 478
389 479
388 481
389 482
388 483
389 485
388 485
387 483
386 482
385 483
386 482
386 481
387 481
386 480
384 479
383 480
383 481
382 480
381 480
382 479
380 479
379 478
381 478
381 477
381 476
380 476
381 477
379 476
379 475
377 475
378 477
378 478
379 481
378 481
378 480
377 478
377 478
374 476
376 475
376 474
376 473
375 474
374 473
373 472
373 471
374 469
374 469
373 467
373 470
371 471
372 472
369 472
369 471
369 470
370 470
370 469
369 469
371 468
371 467
369 467
370 466
371 466
371 465
371 464
368 464
367 464
366 465
365 467
364 467
363 466
364 463
363 462
363 464
362 466
361 465
361 465
360 466
359 467
358 466
358 465
358 464
358 462
357 462
356 464
356 464
355 465
354 465
354 467
354 466
353 464
352 464
352 463
352 462
351 461
349 462
348 463
348 463
347 462
349 461
349 460
348 459
348 458
347 459
347 458
346 457
347 457
348 457
349 456
350 456
351 457
350 457
349 458
351 458
350 460
351 460
352 459
353 460
353 457
354 461
355 461
355 463
356 462
356 460
357 460
357 460
359 460
360 460
360 459
359 459
359 458
359 457
358 457
359 456
358 455
358 455
360 454
360 454
360 456
362 456
362 459
363 459
363 459
363 458
364 457
365 458
367 457
368 457
368 458
369 459
369 458
369 455
370 456
371 455
372 456
373 455
374 453
375 454
374 455
374 456
374 457
373 457
372 458
371 459
372 459
373 459
374 460
373 462
375 462
376 461
377 458
378 457
378 456
379 456
379 457
379 458
380 459
380 460
379 462
379 463
378 464
379 465
379 466
380 465
381 467
381 466
382 466
384 468
385 467
384 467
383 466
384 465
383 465
381 464
381 463
382 462
382 462
383 460
383 459
384 458
387 458
387 458
388 459
389 458
389 458
389 459
390 459
390 457
390 456
389 456
389 455
387 455
387 454
388 454
389 453
391 456
392 457
391 461
391 461
391 462
395 459
395 460
394 461
394 462
393 463
393 464
396 462
397 463
397 461
398 460
400 462
401 461
402 463
402 464
403 464
403 464
404 465
405 463
404 462
401 460
398 459
397 458
399 458
399 457
396 456
396 455
394 454
396 454
397 454
397 455
398 456
399 455
400 456
400 455
401 457
402 457
402 458
404 459
405 459
404 458
402 456
403 455
406 457
406 456
407 458
406 458
406 459
408 461
409 462
410 463
410 465
410 467
411 466
